Ticket ID,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Priority,Ticket Channel,First Response Time
33,36,Female,Fitbit Charge,2021-12-07,Billing inquiry,Product recommendation,Medium,Chat,2023-06-01 19:36:21
34,50,Male,Autodesk AutoCAD,2021-12-09,Refund request,Hardware issue,Critical,Social media,2023-06-01 02:01:23
35,27,Male,Microsoft Xbox Controller,2021-04-09,Refund request,Installation support,Low,Chat,2023-06-01 20:50:24
36,24,Other,GoPro Hero,2020-10-13,Cancellation request,Product recommendation,High,Chat,2023-06-01 07:56:25
37,65,Female,Canon EOS,2020-03-14,Refund request,Hardware issue,Medium,Email,2023-06-01 15:51:28
39,19,Male,Google Pixel,2021-09-10,Technical issue,Account access,Critical,Phone,2023-06-01 18:45:30
40,33,Other,Amazon Echo,2021-10-22,Product inquiry,Account access,Medium,Social media,2023-05-31 22:19:32
41,19,Female,PlayStation,2021-02-07,Product inquiry,Installation support,Low,Phone,2023-06-01 09:11:33
42,35,Male,Dell XPS,2021-06-09,Billing inquiry,Product compatibility,Critical,Chat,2023-06-01 20:25:34
43,22,Male,Samsung Galaxy,2020-10-10,Product inquiry,Product compatibility,Medium,Phone,2023-06-01 18:41:35
45,34,Other,HP Pavilion,2021-09-25,Refund request,Product compatibility,Critical,Email,2023-06-01 05:58:39
47,50,Female,Nintendo Switch Pro Controller,2020-10-15,Refund request,Network problem,High,Phone,2023-06-01 03:43:43
48,27,Female,GoPro Hero,2020-07-29,Technical issue,Software bug,Medium,Social media,2023-06-01 07:16:45
52,64,Male,LG Smart TV,2020-11-20,Refund request,Software bug,Medium,Chat,2023-06-01 16:21:49
53,54,Male,Nest Thermostat,2021-10-10,Refund request,Network problem,High,Social media,2023-06-01 01:54:49
54,37,Male,HP Pavilion,2021-08-16,Cancellation request,Delivery problem,Low,Chat,2023-06-01 00:39:50
55,68,Female,Microsoft Xbox Controller,2021-10-14,Technical issue,Network problem,Low,Chat,2023-06-01 07:25:51
56,50,Female,Nintendo Switch Pro Controller,2021-11-19,Cancellation request,Software bug,Critical,Chat,2023-06-01 11:14:53
57,69,Male,Autodesk AutoCAD,2021-12-22,Technical issue,Software bug,Medium,Social media,2023-06-01 10:33:53
59,27,Male,Autodesk AutoCAD,2020-07-31,Technical issue,Product recommendation,Medium,Phone,2023-06-01 11:56:57
60,40,Other,Apple AirPods,2021-09-05,Product inquiry,Cancellation request,Medium,Chat,2023-06-01 19:50:58
61,40,Male,Sony 4K HDR TV,2020-11-16,Cancellation request,Product setup,Medium,Chat,2023-06-01 00:18:00
62,41,Other,Lenovo ThinkPad,2021-11-21,Product inquiry,Battery life,Critical,Social media,2023-06-01 01:32:02
63,64,Female,Xbox,2020-12-12,Billing inquiry,Payment issue,High,Email,2023-05-31 23:37:04
64,57,Female,Adobe Photoshop,2020-04-24,Billing inquiry,Hardware issue,High,Phone,2023-06-01 07:07:05
66,56,Male,Apple AirPods,2021-11-11,Technical issue,Battery life,Medium,Phone,2023-05-31 22:38:07
67,49,Female,GoPro Hero,2021-08-08,Billing inquiry,Product compatibility,High,Email,2023-06-01 05:06:08
68,54,Male,Microsoft Office,2021-06-27,Cancellation request,Peripheral compatibility,Low,Phone,2023-06-01 21:04:10
69,51,Other,Adobe Photoshop,2021-02-06,Technical issue,Product compatibility,Critical,Chat,2023-05-31 23:00:12
70,46,Female,Canon DSLR Camera,2020-02-13,Refund request,Refund request,High,Chat,2023-06-01 11:57:12
71,27,Male,Google Pixel,2021-05-15,Cancellation request,Product setup,Medium,Chat,2023-05-31 23:49:14
73,34,Female,Dyson Vacuum Cleaner,2021-02-16,Billing inquiry,Display issue,Low,Chat,2023-06-01 04:35:16
74,36,Other,Fitbit Charge,2020-11-09,Cancellation request,Payment issue,Critical,Social media,2023-06-01 21:31:17
76,37,Other,Roomba Robot Vacuum,2021-01-06,Product inquiry,Display issue,Critical,Chat,2023-06-01 14:43:20
78,63,Female,Fitbit Charge,2020-12-29,Billing inquiry,Delivery problem,Low,Email,2023-06-01 19:16:24
79,55,Other,Google Pixel,2021-01-07,Billing inquiry,Data loss,Medium,Social media,2023-06-01 16:57:26
80,40,Other,LG Smart TV,2020-11-03,Technical issue,Software bug,Critical,Chat,2023-06-01 11:27:28
81,50,Other,Microsoft Office,2021-03-22,Technical issue,Product recommendation,Critical,Phone,2023-06-01 07:27:28
82,29,Other,Apple AirPods,2021-07-22,Cancellation request,Cancellation request,Medium,Email,2023-06-01 11:37:29
83,24,Male,PlayStation,2021-10-04,Refund request,Software bug,Low,Social media,2023-06-01 05:40:30
84,57,Other,Autodesk AutoCAD,2021-08-11,Technical issue,Installation support,Critical,Phone,2023-06-01 00:24:32
87,46,Male,Sony PlayStation,2020-01-18,Technical issue,Product recommendation,Critical,Phone,2023-06-01 18:03:35
88,55,Other,Philips Hue Lights,2020-09-10,Technical issue,Delivery problem,High,Social media,2023-06-01 19:21:36
90,40,Male,Sony Xperia,2020-01-30,Product inquiry,Product recommendation,Medium,Email,2023-05-31 23:17:40
91,57,Other,Sony Xperia,2020-10-15,Refund request,Software bug,High,Phone,2023-06-01 07:15:41
92,62,Male,iPhone,2021-11-14,Product inquiry,Display issue,Low,Email,2023-06-01 00:14:43
93,44,Male,Bose QuietComfort,2021-05-27,Technical issue,Peripheral compatibility,Low,Email,2023-06-01 15:57:45
96,60,Male,Autodesk AutoCAD,2021-10-02,Product inquiry,Battery life,High,Chat,2023-06-01 00:08:49
98,22,Other,Xbox,2020-01-18,Product inquiry,Delivery problem,High,Email,2023-06-01 01:55:51
99,38,Male,Samsung Galaxy,2020-09-09,Billing inquiry,Refund request,High,Chat,2023-06-01 07:05:53
100,23,Other,Samsung Soundbar,2020-05-15,Technical issue,Hardware issue,Low,Chat,2023-06-01 15:32:53
101,39,Female,Dyson Vacuum Cleaner,2020-05-31,Cancellation request,Delivery problem,High,Email,2023-06-01 21:36:55
102,18,Other,iPhone,2021-08-01,Billing inquiry,Software bug,Critical,Phone,2023-06-01 21:00:57
103,40,Female,Asus ROG,2021-01-26,Refund request,Battery life,Critical,Email,2023-06-01 03:07:58
106,56,Other,Dyson Vacuum Cleaner,2021-07-17,Product inquiry,Battery life,Critical,Chat,2023-06-01 02:08:01
107,42,Female,Nintendo Switch,2021-05-20,Cancellation request,Installation support,Low,Email,2023-06-01 11:38:01
108,50,Other,LG Smart TV,2021-06-09,Technical issue,Account access,High,Email,2023-06-01 15:49:01
109,33,Male,Dyson Vacuum Cleaner,2020-01-08,Technical issue,Product setup,Critical,Chat,2023-06-01 02:55:03
111,60,Female,Amazon Echo,2021-07-28,Cancellation request,Peripheral compatibility,High,Email,2023-06-01 03:14:05
114,27,Other,Microsoft Office,2021-11-12,Cancellation request,Payment issue,High,Email,2023-06-01 03:24:09
115,28,Female,Sony 4K HDR TV,2020-09-20,Cancellation request,Battery life,High,Email,2023-06-01 10:27:10
117,20,Female,iPhone,2021-11-27,Cancellation request,Software bug,High,Email,2023-06-01 19:02:13
118,18,Male,Google Nest,2020-02-16,Billing inquiry,Product setup,Medium,Phone,2023-06-01 00:40:14
120,41,Female,Fitbit Charge,2021-07-31,Billing inquiry,Software bug,Low,Phone,2023-06-01 04:22:17
121,56,Male,Amazon Kindle,2021-03-11,Billing inquiry,Refund request,Medium,Chat,2023-06-01 18:02:19
124,36,Other,Samsung Galaxy,2021-12-27,Product inquiry,Battery life,Low,Email,2023-06-01 13:08:24
125,63,Male,Dyson Vacuum Cleaner,2021-03-23,Technical issue,Product setup,High,Phone,2023-06-01 02:14:26
128,57,Male,Xbox,2020-09-28,Refund request,Cancellation request,Low,Email,2023-06-01 03:09:31
129,49,Male,Adobe Photoshop,2021-04-15,Cancellation request,Hardware issue,Medium,Email,2023-05-31 22:12:33
130,55,Other,Amazon Echo,2021-05-05,Cancellation request,Cancellation request,Low,Email,2023-06-01 07:38:35
131,43,Male,Asus ROG,2020-02-13,Billing inquiry,Product recommendation,Medium,Email,2023-06-01 21:31:36
132,49,Male,LG Smart TV,2021-11-24,Product inquiry,Battery life,Critical,Social media,2023-06-01 20:57:38
134,50,Male,Nintendo Switch,2021-06-17,Refund request,Refund request,Critical,Phone,2023-06-01 17:14:41
135,66,Male,PlayStation,2020-05-01,Cancellation request,Product setup,Critical,Email,2023-06-01 07:40:42
136,35,Female,Samsung Galaxy,2021-10-30,Product inquiry,Software bug,Low,Chat,2023-06-01 02:05:43
138,21,Other,Amazon Echo,2021-12-20,Technical issue,Network problem,Low,Chat,2023-06-01 09:56:46
139,58,Male,Adobe Photoshop,2021-02-12,Product inquiry,Product compatibility,Critical,Chat,2023-05-31 23:52:47
140,31,Other,LG OLED,2021-03-12,Cancellation request,Battery life,Low,Phone,2023-06-01 19:46:49
141,47,Male,LG Washing Machine,2021-05-09,Cancellation request,Product setup,Critical,Email,2023-06-01 09:35:50
142,31,Other,Sony PlayStation,2020-04-13,Technical issue,Software bug,High,Chat,2023-06-01 21:18:52
143,38,Female,Roomba Robot Vacuum,2021-04-26,Billing inquiry,Product compatibility,High,Chat,2023-06-01 14:31:54
146,46,Male,Philips Hue Lights,2020-10-12,Cancellation request,Refund request,Medium,Email,2023-06-01 15:24:59
148,22,Female,Apple AirPods,2020-10-06,Billing inquiry,Product compatibility,Low,Social media,2023-06-01 13:45:03
149,40,Other,LG Washing Machine,2021-10-24,Refund request,Installation support,High,Chat,2023-06-01 08:45:05
150,64,Female,Philips Hue Lights,2021-03-18,Technical issue,Peripheral compatibility,Critical,Email,2023-06-01 16:34:07
151,29,Female,Google Pixel,2020-10-14,Refund request,Product recommendation,Critical,Email,2023-06-01 15:33:09
152,45,Other,Xbox,2021-12-24,Refund request,Display issue,Medium,Phone,2023-06-01 12:33:10
153,46,Other,GoPro Hero,2021-10-19,Product inquiry,Account access,Low,Social media,2023-06-01 15:58:11
154,58,Male,GoPro Action Camera,2020-03-12,Technical issue,Cancellation request,Medium,Social media,2023-06-01 02:50:13
159,35,Male,Dyson Vacuum Cleaner,2021-11-30,Product inquiry,Hardware issue,Low,Social media,2023-06-01 02:19:21
160,55,Other,Sony Xperia,2021-02-03,Billing inquiry,Cancellation request,High,Email,2023-06-01 19:33:22
161,19,Female,Lenovo ThinkPad,2020-07-19,Refund request,Account access,High,Email,2023-06-01 10:20:23
162,29,Female,HP Pavilion,2020-01-06,Refund request,Product setup,High,Phone,2023-06-01 03:19:25
163,30,Male,Bose SoundLink Speaker,2021-10-23,Refund request,Payment issue,Critical,Phone,2023-06-01 21:38:27
164,34,Male,Microsoft Office,2020-11-11,Cancellation request,Product recommendation,Medium,Phone,2023-06-01 19:15:27
165,24,Male,HP Pavilion,2021-05-21,Billing inquiry,Product setup,Low,Social media,2023-06-01 19:39:29
166,33,Male,Bose QuietComfort,2020-07-25,Product inquiry,Network problem,Low,Email,2023-06-01 07:21:30
167,32,Female,Xbox,2020-04-03,Refund request,Battery life,Medium,Email,2023-06-01 04:35:32
168,41,Male,Garmin Forerunner,2020-01-31,Technical issue,Delivery problem,Medium,Chat,2023-06-01 12:41:33
170,30,Male,Sony Xperia,2020-08-04,Product inquiry,Network problem,Medium,Phone,2023-06-01 14:14:36
171,44,Female,Microsoft Office,2021-12-24,Billing inquiry,Product setup,Low,Social media,2023-06-01 15:42:38
173,36,Other,Nest Thermostat,2020-01-27,Cancellation request,Product compatibility,Medium,Social media,2023-06-01 10:53:42
174,50,Other,Lenovo ThinkPad,2021-10-01,Refund request,Product recommendation,Medium,Email,2023-05-31 23:10:43
175,37,Male,LG Smart TV,2021-10-05,Technical issue,Data loss,Critical,Chat,2023-06-01 19:22:43
176,42,Other,PlayStation,2021-10-18,Technical issue,Delivery problem,Medium,Email,2023-06-01 13:14:45
177,49,Female,Sony 4K HDR TV,2021-11-16,Technical issue,Refund request,Medium,Email,2023-06-01 02:45:47
178,27,Other,Dyson Vacuum Cleaner,2020-09-21,Cancellation request,Product recommendation,High,Phone,2023-06-01 11:03:49
180,58,Female,Google Pixel,2021-06-03,Billing inquiry,Data loss,Critical,Phone,2023-06-01 18:36:52
181,60,Other,MacBook Pro,2021-11-17,Refund request,Product compatibility,Medium,Email,2023-06-01 03:33:53
182,34,Other,Amazon Kindle,2020-11-26,Cancellation request,Account access,Critical,Social media,2023-06-01 20:47:54
183,33,Female,Samsung Soundbar,2021-04-18,Product inquiry,Delivery problem,High,Chat,2023-06-01 01:29:56
184,32,Female,Google Pixel,2020-03-16,Billing inquiry,Network problem,Medium,Phone,2023-05-31 23:38:57
185,29,Female,Roomba Robot Vacuum,2021-10-17,Refund request,Product setup,High,Chat,2023-06-01 13:47:59
187,33,Female,iPhone,2021-04-23,Product inquiry,Refund request,Medium,Phone,2023-06-01 07:30:00
188,46,Male,Lenovo ThinkPad,2021-01-19,Cancellation request,Network problem,Low,Phone,2023-06-01 17:14:02
189,37,Other,Roomba Robot Vacuum,2021-01-10,Refund request,Product compatibility,High,Phone,2023-06-01 15:58:03
191,70,Other,iPhone,2021-02-09,Refund request,Product setup,Critical,Phone,2023-06-01 03:09:06
192,57,Female,Fitbit Charge,2020-10-14,Product inquiry,Delivery problem,Low,Email,2023-05-31 23:17:07
193,58,Other,GoPro Hero,2021-10-28,Product inquiry,Account access,Medium,Phone,2023-06-01 21:31:09
194,18,Male,GoPro Hero,2021-09-03,Cancellation request,Refund request,Critical,Chat,2023-06-01 05:08:10
195,57,Male,Samsung Soundbar,2021-06-15,Billing inquiry,Payment issue,Medium,Social media,2023-06-01 04:08:11
197,66,Female,HP Pavilion,2021-08-08,Refund request,Display issue,Low,Social media,2023-06-01 18:04:14
198,30,Male,MacBook Pro,2021-01-28,Refund request,Delivery problem,High,Chat,2023-06-01 02:54:15
199,60,Female,Amazon Echo,2021-07-23,Cancellation request,Product setup,Critical,Chat,2023-06-01 01:07:17
200,66,Other,Canon EOS,2020-09-19,Product inquiry,Software bug,Medium,Chat,2023-06-01 12:39:19
204,46,Male,LG OLED,2020-05-19,Product inquiry,Battery life,Low,Phone,2023-05-31 23:25:26
205,43,Female,Google Nest,2020-06-11,Cancellation request,Software bug,High,Phone,2023-06-01 17:47:28
206,55,Male,Sony Xperia,2020-11-24,Refund request,Delivery problem,Medium,Phone,2023-06-01 13:56:29
208,48,Female,Nest Thermostat,2021-07-27,Billing inquiry,Display issue,Critical,Email,2023-06-01 00:51:31
210,62,Other,Nintendo Switch Pro Controller,2020-02-04,Technical issue,Delivery problem,Low,Chat,2023-06-01 21:50:34
211,39,Male,Sony 4K HDR TV,2020-01-16,Technical issue,Software bug,Low,Phone,2023-05-31 23:41:36
212,49,Other,LG Smart TV,2020-04-06,Product inquiry,Battery life,Low,Social media,2023-06-01 12:37:38
217,18,Female,Samsung Galaxy,2021-01-03,Technical issue,Delivery problem,High,Chat,2023-06-01 14:13:43
219,44,Male,Philips Hue Lights,2021-02-12,Billing inquiry,Battery life,Critical,Email,2023-06-01 03:11:47
220,65,Female,Canon EOS,2021-09-23,Technical issue,Refund request,Critical,Social media,2023-06-01 09:57:49
221,70,Female,Sony Xperia,2021-03-21,Billing inquiry,Installation support,Medium,Social media,2023-06-01 13:53:51
222,34,Other,Dyson Vacuum Cleaner,2021-03-27,Billing inquiry,Installation support,Critical,Chat,2023-06-01 09:13:53
223,64,Other,Samsung Soundbar,2021-02-05,Cancellation request,Account access,Critical,Phone,2023-05-31 23:24:53
224,67,Female,Lenovo ThinkPad,2020-05-27,Refund request,Product recommendation,Low,Chat,2023-05-31 22:57:55
226,35,Female,PlayStation,2020-03-29,Technical issue,Product recommendation,High,Chat,2023-06-01 12:23:57
227,53,Female,Apple AirPods,2021-01-04,Billing inquiry,Product recommendation,High,Phone,2023-05-31 22:49:59
228,56,Male,HP Pavilion,2020-03-08,Cancellation request,Product recommendation,Low,Phone,2023-06-01 04:59:00
230,66,Male,Microsoft Xbox Controller,2021-02-20,Technical issue,Hardware issue,Critical,Social media,2023-06-01 08:10:04
231,65,Male,Dyson Vacuum Cleaner,2020-06-29,Refund request,Display issue,Low,Chat,2023-06-01 16:17:06
232,55,Male,Fitbit Versa Smartwatch,2020-10-31,Technical issue,Account access,High,Phone,2023-06-01 00:58:07
234,67,Other,Bose SoundLink Speaker,2021-02-01,Refund request,Hardware issue,High,Chat,2023-06-01 13:13:09
236,18,Female,Canon EOS,2020-12-04,Billing inquiry,Peripheral compatibility,Critical,Email,2023-06-01 05:47:13
237,40,Male,iPhone,2021-01-07,Refund request,Refund request,Critical,Phone,2023-06-01 08:21:14
238,31,Male,Sony Xperia,2021-09-16,Product inquiry,Peripheral compatibility,High,Social media,2023-06-01 00:51:16
239,69,Female,LG Smart TV,2021-01-21,Refund request,Product compatibility,Critical,Email,2023-06-01 16:22:18
241,66,Male,Philips Hue Lights,2021-07-25,Technical issue,Delivery problem,Low,Social media,2023-06-01 12:44:21
242,55,Male,iPhone,2021-10-26,Billing inquiry,Product compatibility,Low,Social media,2023-06-01 08:10:23
244,43,Other,LG Washing Machine,2020-05-21,Technical issue,Delivery problem,Critical,Chat,2023-06-01 06:35:25
245,66,Female,Microsoft Office,2020-01-15,Cancellation request,Installation support,Medium,Phone,2023-06-01 06:07:27
246,55,Male,iPhone,2020-04-07,Billing inquiry,Product setup,Medium,Phone,2023-06-01 04:19:28
247,59,Male,GoPro Hero,2020-02-09,Technical issue,Account access,Medium,Chat,2023-06-01 05:41:30
249,44,Male,Autodesk AutoCAD,2021-04-22,Refund request,Software bug,Critical,Social media,2023-06-01 09:57:34
250,35,Male,Sony PlayStation,2021-09-20,Refund request,Product compatibility,High,Chat,2023-06-01 15:10:34
251,19,Female,Roomba Robot Vacuum,2021-07-27,Technical issue,Product setup,Critical,Phone,2023-06-01 03:15:34
252,29,Other,Microsoft Xbox Controller,2020-12-05,Technical issue,Payment issue,Critical,Social media,2023-06-01 14:54:36
253,40,Other,GoPro Action Camera,2020-03-20,Cancellation request,Network problem,High,Social media,2023-06-01 03:30:37
254,69,Female,MacBook Pro,2021-11-13,Technical issue,Cancellation request,High,Social media,2023-06-01 19:13:38
255,51,Female,Google Pixel,2021-05-15,Refund request,Installation support,Low,Email,2023-06-01 11:01:38
257,58,Female,Google Nest,2021-07-18,Cancellation request,Installation support,High,Chat,2023-06-01 02:09:42
260,33,Male,PlayStation,2021-08-14,Billing inquiry,Battery life,Low,Social media,2023-06-01 05:54:46
261,56,Other,Amazon Kindle,2021-05-04,Billing inquiry,Network problem,High,Social media,2023-06-01 00:09:48
263,48,Male,Microsoft Surface,2021-12-11,Product inquiry,Hardware issue,Medium,Chat,2023-06-01 05:44:50
265,46,Other,Sony Xperia,2021-06-28,Refund request,Cancellation request,Critical,Social media,2023-06-01 16:39:52
266,29,Male,LG OLED,2020-04-27,Cancellation request,Product compatibility,Medium,Chat,2023-06-01 20:18:54
269,69,Female,Microsoft Surface,2020-08-21,Cancellation request,Refund request,Medium,Phone,2023-06-01 08:03:56
270,64,Other,MacBook Pro,2021-05-10,Refund request,Hardware issue,High,Social media,2023-06-01 07:21:57
271,63,Male,Xbox,2021-01-08,Billing inquiry,Data loss,Critical,Phone,2023-06-01 14:06:58
273,43,Male,LG OLED,2021-10-25,Technical issue,Cancellation request,Critical,Chat,2023-06-01 11:24:00
278,39,Female,Autodesk AutoCAD,2020-02-26,Billing inquiry,Refund request,Medium,Chat,2023-06-01 20:36:06
279,21,Other,Apple AirPods,2021-06-07,Technical issue,Software bug,Low,Social media,2023-06-01 00:42:08
280,40,Female,PlayStation,2021-06-24,Billing inquiry,Product recommendation,High,Social media,2023-06-01 06:29:09
281,33,Male,Bose SoundLink Speaker,2021-05-08,Product inquiry,Refund request,Critical,Chat,2023-06-01 14:22:11
282,52,Male,Lenovo ThinkPad,2020-11-11,Product inquiry,Hardware issue,Low,Social media,2023-06-01 13:00:13
285,35,Female,Microsoft Xbox Controller,2020-03-24,Billing inquiry,Payment issue,Low,Phone,2023-05-31 22:22:16
286,24,Female,Amazon Kindle,2021-11-06,Technical issue,Peripheral compatibility,Medium,Social media,2023-05-31 22:02:18
287,25,Other,Nintendo Switch,2021-10-23,Technical issue,Cancellation request,Critical,Phone,2023-06-01 09:38:19
290,30,Other,Bose SoundLink Speaker,2020-03-21,Refund request,Product setup,Critical,Email,2023-06-01 16:49:22
291,58,Other,Roomba Robot Vacuum,2020-04-04,Billing inquiry,Payment issue,Low,Chat,2023-05-31 22:57:22
293,35,Female,Philips Hue Lights,2021-12-09,Billing inquiry,Product compatibility,High,Email,2023-06-01 05:29:23
295,58,Female,Philips Hue Lights,2020-09-03,Product inquiry,Cancellation request,Critical,Phone,2023-06-01 01:49:25
297,26,Female,Microsoft Xbox Controller,2021-04-02,Billing inquiry,Installation support,Medium,Social media,2023-06-01 11:27:26
298,24,Male,Apple AirPods,2020-09-12,Cancellation request,Cancellation request,Critical,Phone,2023-06-01 04:14:28
300,68,Female,Canon DSLR Camera,2021-10-06,Cancellation request,Product recommendation,Medium,Phone,2023-06-01 02:55:32
303,44,Male,Amazon Kindle,2020-01-22,Product inquiry,Peripheral compatibility,Medium,Phone,2023-06-01 00:49:37
304,28,Female,Bose SoundLink Speaker,2021-07-26,Cancellation request,Peripheral compatibility,Medium,Social media,2023-06-01 10:19:38
305,53,Female,Amazon Kindle,2021-03-06,Cancellation request,Software bug,Medium,Chat,2023-06-01 12:24:39
307,32,Female,GoPro Action Camera,2021-07-05,Refund request,Peripheral compatibility,Low,Social media,2023-06-01 17:07:42
308,21,Female,LG OLED,2020-05-05,Technical issue,Product compatibility,Critical,Social media,2023-06-01 08:11:43
311,53,Male,Nintendo Switch Pro Controller,2020-09-06,Technical issue,Peripheral compatibility,High,Social media,2023-06-01 13:51:48
312,46,Female,Bose QuietComfort,2020-07-18,Refund request,Product setup,Critical,Chat,2023-06-01 07:18:48
313,46,Female,Microsoft Xbox Controller,2020-06-26,Technical issue,Battery life,Medium,Email,2023-06-01 00:13:50
315,30,Female,GoPro Hero,2021-01-15,Cancellation request,Payment issue,High,Email,2023-06-01 05:58:53
316,33,Other,Fitbit Versa Smartwatch,2020-09-02,Cancellation request,Hardware issue,Critical,Chat,2023-05-31 22:01:53
318,18,Male,Apple AirPods,2020-05-03,Technical issue,Cancellation request,Low,Chat,2023-06-01 07:32:56
319,28,Female,Nintendo Switch,2021-09-10,Billing inquiry,Refund request,Medium,Email,2023-06-01 18:51:58
321,27,Other,Nest Thermostat,2021-08-09,Cancellation request,Software bug,Medium,Email,2023-06-01 12:49:01
323,70,Male,Canon DSLR Camera,2021-11-24,Refund request,Battery life,Critical,Social media,2023-06-01 06:48:03
325,66,Other,LG Washing Machine,2020-03-11,Product inquiry,Battery life,Low,Phone,2023-06-01 06:35:07
326,52,Female,Microsoft Surface,2020-01-27,Refund request,Hardware issue,Low,Phone,2023-06-01 00:41:07
327,69,Male,GoPro Action Camera,2020-07-14,Product inquiry,Account access,Critical,Email,2023-06-01 04:58:08
330,45,Female,GoPro Hero,2021-10-21,Refund request,Product recommendation,Medium,Chat,2023-06-01 04:28:12
332,49,Male,Canon EOS,2020-07-09,Cancellation request,Account access,Medium,Phone,2023-06-01 00:05:16
333,21,Male,Fitbit Versa Smartwatch,2020-04-18,Technical issue,Delivery problem,Medium,Social media,2023-06-01 18:11:18
334,41,Other,Nintendo Switch Pro Controller,2021-02-06,Technical issue,Installation support,Medium,Phone,2023-06-01 10:39:19
335,63,Female,Xbox,2021-04-20,Product inquiry,Product recommendation,High,Email,2023-06-01 18:51:20
337,33,Male,Amazon Echo,2020-10-16,Technical issue,Product compatibility,Critical,Phone,2023-06-01 19:18:22
339,45,Male,iPhone,2021-02-07,Technical issue,Product compatibility,Critical,Social media,2023-06-01 08:44:25
340,33,Male,Roomba Robot Vacuum,2020-02-25,Product inquiry,Data loss,Low,Email,2023-06-01 15:40:26
342,20,Female,Amazon Kindle,2021-11-25,Cancellation request,Product compatibility,Critical,Email,2023-06-01 21:26:28
343,21,Male,Sony PlayStation,2021-01-20,Cancellation request,Cancellation request,Low,Chat,2023-06-01 15:44:28
345,52,Other,HP Pavilion,2021-05-16,Technical issue,Network problem,High,Phone,2023-06-01 05:24:31
346,54,Male,Garmin Forerunner,2021-04-12,Technical issue,Payment issue,High,Social media,2023-06-01 15:56:32
349,52,Male,Autodesk AutoCAD,2021-10-13,Technical issue,Battery life,Medium,Email,2023-06-01 18:27:35
350,28,Female,LG OLED,2020-07-15,Billing inquiry,Battery life,Critical,Email,2023-05-31 23:30:36
351,70,Other,Garmin Forerunner,2021-10-27,Cancellation request,Product compatibility,Critical,Social media,2023-06-01 07:33:38
352,51,Female,Google Nest,2021-12-19,Cancellation request,Account access,Medium,Phone,2023-06-01 01:32:39
353,47,Male,Bose SoundLink Speaker,2020-12-14,Refund request,Installation support,High,Email,2023-06-01 16:10:40
354,52,Male,Nest Thermostat,2021-12-29,Cancellation request,Refund request,Critical,Chat,2023-06-01 19:19:42
